product_id,category_id,name,slug,description,base_price,thumbnail_url,is_customizable,avg_rating,is_active,created_at,updated_at
92697e4a-07c8-5e38-8c85-d93a737c3e15,7c144152-c887-5fd4-b956-215cd33de698,Bánh kem sữa tươi,banh-kem-sua-tuoi,"Bánh gato truyền thống với cốt bánh mềm nhẹ, kem sữa tươi thanh mát và trái cây tươi theo mùa. Hương vị cân bằng, ít ngọt, phù hợp cho mọi dịp.",120000,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492883/product-image/gato/suatuoi/gato-suatuoi%281%29.jpg,True,0.0,True,2026-06-27T00:56:55.279862,2026-06-27T00:56:55.279862
99e36f3c-6d04-59b0-9ad1-7a80203e5d16,7c144152-c887-5fd4-b956-215cd33de698,Bánh kem Socola,banh-kem-socola,"Bánh socola mềm ẩm kết hợp kem socola và ganache đậm vị, mang đến trải nghiệm cacao tròn vị và hấp dẫn.",120000,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492876/product-image/gato/socola/gato-socola%281%29.png,True,0.0,True,2026-06-27T00:56:55.279862,2026-06-27T00:56:55.279862
7690844b-0ab7-5e65-88e3-8c90ac98f6e0,7c144152-c887-5fd4-b956-215cd33de698,Bánh kem dưa lưới,banh-kem-dua-luoi,"Kem sữa tươi kết hợp dưa lưới tươi ngọt thanh, mang đến hương vị nhẹ nhàng, tươi mát và dễ thưởng thức.",120000,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492865/product-image/gato/dualuoi/gato-dualuoi%281%29.png,True,0.0,True,2026-06-27T00:56:55.279862,2026-06-27T00:56:55.279862
d0cd67de-90a2-53dc-852f-ff2198122cfc,7c144152-c887-5fd4-b956-215cd33de698,Bánh bắp phô mai,banh-bap-pho-mai,"Vị ngọt tự nhiên của bắp Mỹ hòa quyện cùng kem phô mai béo thơm, tạo nên dòng bánh được yêu thích bởi nhiều khách hàng.",140000,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492860/product-image/gato/bapphomai/gato-bapphomai%281%29.png,True,0.0,True,2026-06-27T00:56:55.279862,2026-06-27T00:56:55.279862
f833fbf3-bf58-544d-b6a1-549f9f0bcd81,7c144152-c887-5fd4-b956-215cd33de698,Bánh kem Oreo,banh-kem-oreo,"Hương vị Oreo quen thuộc với lớp bánh quy giòn xen kẽ kem sữa tươi mịn nhẹ, phù hợp với cả trẻ em và người lớn.",140000,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492871/product-image/gato/oreo/gato-oreo%281%29.png,True,0.0,True,2026-06-27T00:56:55.279862,2026-06-27T00:56:55.279862
ebd6074f-addc-5c79-81a1-42ed0a1418a8,7c144152-c887-5fd4-b956-215cd33de698,Red velvet,red-velvet,"Cốt bánh đỏ nhung mềm ẩm với hương cacao nhẹ, kết hợp kem cream cheese chua dịu tạo nên hương vị thanh lịch và nổi tiếng.",150000,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492873/product-image/gato/redvelvet/gato-redvelvet%281%29.png,True,0.0,True,2026-06-27T00:56:55.279862,2026-06-27T00:56:55.279862
36e1a8ea-6b51-5993-8ba5-3a184f5b9374,7c144152-c887-5fd4-b956-215cd33de698,Black velvet,black-velvet,"Phiên bản cacao đen đậm vị với màu sắc sang trọng, kết hợp kem phô mai giúp cân bằng vị giác và tăng chiều sâu hương vị.",150000,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492862/product-image/gato/blackvelvet/gato-blackvelvet%281%29.png.png,True,0.0,True,2026-06-27T00:56:55.279862,2026-06-27T00:56:55.279862
49c1643c-4f7f-5c7c-aa36-01fcab9c8d49,7c144152-c887-5fd4-b956-215cd33de698,Socola hạt điều,socola-hat-dieu,"Bánh socola mềm ẩm kết hợp hạt điều rang thơm bùi và lớp crunch giòn nhẹ, tạo nên kết cấu phong phú và hấp dẫn.",150000,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492878/product-image/gato/socolahatdieu/gato-socolahatdieu%281%29.png,True,0.0,True,2026-06-27T00:56:55.279862,2026-06-27T00:56:55.279862
ba0deb71-2819-5fe7-8b7c-04b6d693bab0,7c144152-c887-5fd4-b956-215cd33de698,Bánh kem matcha,banh-kem-matcha,"Matcha Nhật Bản thơm dịu với hậu vị hơi đắng nhẹ, kết hợp kem sữa tươi giúp hương vị cân bằng và thanh mát.",140000,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492867/product-image/gato/matcha/gato-matcha%281%29.png,True,0.0,True,2026-06-27T00:56:55.279862,2026-06-27T00:56:55.279862
6c9c16ac-84ee-5d24-b9b7-93a8cff0ac22,86fd30aa-31fa-5c90-9e30-bd90f62c6f4f,Midnight Salt,midnight-salt,"Socola Caramel Muối - Bánh socola đậm vừa phải kết hợp caramel muối mặn nhẹ, tạo cảm giác “ngọt – đắng – mặn” cân bằng.",320000,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492850/product-image/entremet/Entremet_s12_MidnightSalt.png,True,0.0,True,2026-06-27T00:56:55.279862,2026-06-27T00:56:55.279862
